tag	subtag	field	subfield
100	0	MAIN ENTRY--PERSONAL NAME (NR)	Authority record control number or standard number (R)
100	1	MAIN ENTRY--PERSONAL NAME (NR)	Real World Object URI (R)
100	2	MAIN ENTRY--PERSONAL NAME (NR)	Source of heading or term (NR)
100	4	MAIN ENTRY--PERSONAL NAME (NR)	Relationship (R)
100	6	MAIN ENTRY--PERSONAL NAME (NR)	Linkage (NR)
100	8	MAIN ENTRY--PERSONAL NAME (NR)	Field link and sequence number (R)
100	a	MAIN ENTRY--PERSONAL NAME (NR)	Personal name (NR)
100	b	MAIN ENTRY--PERSONAL NAME (NR)	Numeration (NR)
100	c	MAIN ENTRY--PERSONAL NAME (NR)	Titles and other words associated with a name (R)
100	d	MAIN ENTRY--PERSONAL NAME (NR)	Dates associated with a name (NR)
100	e	MAIN ENTRY--PERSONAL NAME (NR)	Relator term (R)
100	f	MAIN ENTRY--PERSONAL NAME (NR)	Date of a work (NR)
100	g	MAIN ENTRY--PERSONAL NAME (NR)	Miscellaneous information (R)
100	j	MAIN ENTRY--PERSONAL NAME (NR)	Attribution qualifier (R)
100	k	MAIN ENTRY--PERSONAL NAME (NR)	Form subheading (R)
100	l	MAIN ENTRY--PERSONAL NAME (NR)	Language of a work (NR)
100	n	MAIN ENTRY--PERSONAL NAME (NR)	Number of part/section of a work (R)
100	p	MAIN ENTRY--PERSONAL NAME (NR)	Name of part/section of a work (R)
100	q	MAIN ENTRY--PERSONAL NAME (NR)	Fuller form of name (NR)
100	t	MAIN ENTRY--PERSONAL NAME (NR)	Title of a work (NR)
100	u	MAIN ENTRY--PERSONAL NAME (NR)	Affiliation (NR)
110	0	MAIN ENTRY--CORPORATE NAME (NR)	Authority record control number or standard number (R)
110	1	MAIN ENTRY--CORPORATE NAME (NR)	Real World Object URI (R)
110	2	MAIN ENTRY--CORPORATE NAME (NR)	Source of heading or term (NR)
110	4	MAIN ENTRY--CORPORATE NAME (NR)	Relationship (R)
110	6	MAIN ENTRY--CORPORATE NAME (NR)	Linkage (NR)
110	8	MAIN ENTRY--CORPORATE NAME (NR)	Field link and sequence number (R)
110	a	MAIN ENTRY--CORPORATE NAME (NR)	Corporate name or jurisdiction name as entry element (NR)
110	b	MAIN ENTRY--CORPORATE NAME (NR)	Subordinate unit (R)
110	c	MAIN ENTRY--CORPORATE NAME (NR)	Location of meeting (R)
110	d	MAIN ENTRY--CORPORATE NAME (NR)	Date of meeting or treaty signing (R)
110	e	MAIN ENTRY--CORPORATE NAME (NR)	Relator term (R)
110	f	MAIN ENTRY--CORPORATE NAME (NR)	Date of a work (NR)
110	g	MAIN ENTRY--CORPORATE NAME (NR)	Miscellaneous information (R)
110	k	MAIN ENTRY--CORPORATE NAME (NR)	Form subheading (R)
110	l	MAIN ENTRY--CORPORATE NAME (NR)	Language of a work (NR)
110	n	MAIN ENTRY--CORPORATE NAME (NR)	Number of part/section/meeting (R)
110	p	MAIN ENTRY--CORPORATE NAME (NR)	Name of part/section of a work (R)
110	t	MAIN ENTRY--CORPORATE NAME (NR)	Title of a work (NR)
110	u	MAIN ENTRY--CORPORATE NAME (NR)	Affiliation (NR)
111	0	MAIN ENTRY--MEETING NAME (NR)	Authority record control number or standard number (R)
111	1	MAIN ENTRY--MEETING NAME (NR)	Real World Object URI (R)
111	2	MAIN ENTRY--MEETING NAME (NR)	Source of heading or term (NR)
111	4	MAIN ENTRY--MEETING NAME (NR)	Relationship (R)
111	6	MAIN ENTRY--MEETING NAME (NR)	Linkage (NR)
111	8	MAIN ENTRY--MEETING NAME (NR)	Field link and sequence number (R)
111	a	MAIN ENTRY--MEETING NAME (NR)	Meeting name or jurisdiction name as entry element (NR)
111	b	MAIN ENTRY--MEETING NAME (NR)	Number (BK CF MP MU SE VM MX) [OBSOLETE]
111	c	MAIN ENTRY--MEETING NAME (NR)	Location of meeting (R)
111	d	MAIN ENTRY--MEETING NAME (NR)	Date of meeting or treaty signing (R)
111	e	MAIN ENTRY--MEETING NAME (NR)	Subordinate unit (R)
111	f	MAIN ENTRY--MEETING NAME (NR)	Date of a work (NR)
111	g	MAIN ENTRY--MEETING NAME (NR)	Miscellaneous information (R)
111	j	MAIN ENTRY--MEETING NAME (NR)	Relator term (R)
111	k	MAIN ENTRY--MEETING NAME (NR)	Form subheading (R)
111	l	MAIN ENTRY--MEETING NAME (NR)	Language of a work (NR)
111	n	MAIN ENTRY--MEETING NAME (NR)	Number of part/section/meeting (R)
111	p	MAIN ENTRY--MEETING NAME (NR)	Name of part/section of a work (R)
111	q	MAIN ENTRY--MEETING NAME (NR)	Name of meeting following jurisdiction name entry element (NR)
111	t	MAIN ENTRY--MEETING NAME (NR)	Title of a work (NR)
111	u	MAIN ENTRY--MEETING NAME (NR)	Affiliation (NR)
130	0	MAIN ENTRY--UNIFORM TITLE (NR)	Authority record control number or standard number (R)
130	1	MAIN ENTRY--UNIFORM TITLE (NR)	Real World Object URI (R)
130	2	MAIN ENTRY--UNIFORM TITLE (NR)	Source of heading or term (NR)
130	6	MAIN ENTRY--UNIFORM TITLE (NR)	Linkage (NR)
130	8	MAIN ENTRY--UNIFORM TITLE (NR)	Field link and sequence number (R)
130	a	MAIN ENTRY--UNIFORM TITLE (NR)	Uniform title (NR)
130	d	MAIN ENTRY--UNIFORM TITLE (NR)	Date of treaty signing (R)
130	f	MAIN ENTRY--UNIFORM TITLE (NR)	Date of a work (NR)
130	g	MAIN ENTRY--UNIFORM TITLE (NR)	Miscellaneous information (R)
130	h	MAIN ENTRY--UNIFORM TITLE (NR)	Medium (NR)
130	k	MAIN ENTRY--UNIFORM TITLE (NR)	Form subheading (R)
130	l	MAIN ENTRY--UNIFORM TITLE (NR)	Language of a work (NR)
130	m	MAIN ENTRY--UNIFORM TITLE (NR)	Medium of performance for music (R)
130	n	MAIN ENTRY--UNIFORM TITLE (NR)	Number of part/section of a work (R)
130	o	MAIN ENTRY--UNIFORM TITLE (NR)	Arranged statement for music (NR)
130	p	MAIN ENTRY--UNIFORM TITLE (NR)	Name of part/section of a work (R)
130	r	MAIN ENTRY--UNIFORM TITLE (NR)	Key for music (NR)
130	s	MAIN ENTRY--UNIFORM TITLE (NR)	Version (R)
130	t	MAIN ENTRY--UNIFORM TITLE (NR)	Title of a work (NR)
210	2	ABBREVIATED TITLE (R)	Source (R)
210	6	ABBREVIATED TITLE (R)	Linkage (NR)
210	8	ABBREVIATED TITLE (R)	Field link and sequence number (R)
210	a	ABBREVIATED TITLE (R)	Abbreviated title (NR)
210	b	ABBREVIATED TITLE (R)	Qualifying information (NR)
211	6	ACRONYM OR SHORTENED TITLE (R) [OBSOLETE]	Linkage (NR)
211	a	ACRONYM OR SHORTENED TITLE (R) [OBSOLETE]	Acronym or shortened title (NR)
212	6	VARIANT ACCESS TITLE (R) [OBSOLETE]	Linkage (NR)
212	a	VARIANT ACCESS TITLE (R) [OBSOLETE]	Variant access title (NR)
214	6	AUGMENTED TITLE (R) [OBSOLETE]	Linkage (NR)
214	a	AUGMENTED TITLE (R) [OBSOLETE]	Augmented title (NR)
222	6	KEY TITLE (R)	Linkage (NR)
222	8	KEY TITLE (R)	Field link and sequence number (R)
222	a	KEY TITLE (R)	Key title (NR)
222	b	KEY TITLE (R)	Qualifying information (NR)
240	0	UNIFORM TITLE (NR)	Authority record control number or standard number (R)
240	1	UNIFORM TITLE (NR)	Real World Object URI (R)
240	2	UNIFORM TITLE (NR)	Source of heading or term (NR)
240	6	UNIFORM TITLE (NR)	Linkage (NR)
240	8	UNIFORM TITLE (NR)	Field link and sequence number (R)
240	a	UNIFORM TITLE (NR)	Uniform title (NR)
240	d	UNIFORM TITLE (NR)	Date of treaty signing (R)
240	f	UNIFORM TITLE (NR)	Date of a work (NR)
240	g	UNIFORM TITLE (NR)	Miscellaneous information (R)
240	h	UNIFORM TITLE (NR)	Medium (NR)
240	k	UNIFORM TITLE (NR)	Form subheading (R)
240	l	UNIFORM TITLE (NR)	Language of a work (NR)
240	m	UNIFORM TITLE (NR)	Medium of performance for music (R)
240	n	UNIFORM TITLE (NR)	Number of part/section of a work (R)
240	o	UNIFORM TITLE (NR)	Arranged statement for music (NR)
240	p	UNIFORM TITLE (NR)	Name of part/section of a work (R)
240	r	UNIFORM TITLE (NR)	Key for music (NR)
240	s	UNIFORM TITLE (NR)	Version (R)
241	a	ROMANIZED TITLE (BK AM CF MP MU VM) (NR) [OBSOLETE]	Romanized title (NR)
241	h	ROMANIZED TITLE (BK AM CF MP MU VM) (NR) [OBSOLETE]	Medium (NR)
242	6	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Linkage (NR)
242	8	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Field link and sequence number (R)
242	a	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Title (NR)
242	b	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Remainder of title (NR)
242	c	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Statement of responsibility, etc. (NR)
242	d	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Designation of section (BK AM MP MU VM SE) [OBSOLETE]
242	e	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Name of part/section (BK AM MP MU VM SE) [OBSOLETE]
242	h	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Medium (NR)
242	n	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Number of part/section of a work (R)
242	p	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Name of part/section of a work (R)
242	y	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Language code of translated title (NR)
243	6	COLLECTIVE UNIFORM TITLE (NR)	Linkage (NR)
243	8	COLLECTIVE UNIFORM TITLE (NR)	Field link and sequence number (R)
243	a	COLLECTIVE UNIFORM TITLE (NR)	Uniform title (NR)
243	d	COLLECTIVE UNIFORM TITLE (NR)	Date of treaty signing (R)
243	f	COLLECTIVE UNIFORM TITLE (NR)	Date of a work (NR)
243	g	COLLECTIVE UNIFORM TITLE (NR)	Miscellaneous information (R)
243	h	COLLECTIVE UNIFORM TITLE (NR)	Medium (NR)
243	k	COLLECTIVE UNIFORM TITLE (NR)	Form subheading (R)
243	l	COLLECTIVE UNIFORM TITLE (NR)	Language of a work (NR)
243	m	COLLECTIVE UNIFORM TITLE (NR)	Medium of performance for music (R)
243	n	COLLECTIVE UNIFORM TITLE (NR)	Number of part/section of a work (R)
243	o	COLLECTIVE UNIFORM TITLE (NR)	Arranged statement for music (NR)
243	p	COLLECTIVE UNIFORM TITLE (NR)	Name of part/section of a work (R)
243	r	COLLECTIVE UNIFORM TITLE (NR)	Key for music (NR)
243	s	COLLECTIVE UNIFORM TITLE (NR)	Version (R)
245	6	TITLE STATEMENT (NR)	Linkage (NR)
245	8	TITLE STATEMENT (NR)	Field link and sequence number (R)
245	a	TITLE STATEMENT (NR)	Title (NR)
245	b	TITLE STATEMENT (NR)	Remainder of title (NR)
245	c	TITLE STATEMENT (NR)	Statement of responsibility, etc. (NR)
245	d	TITLE STATEMENT (NR)	Designation of section (SE) [OBSOLETE]
245	e	TITLE STATEMENT (NR)	Name of part/section (SE) [OBSOLETE]
245	f	TITLE STATEMENT (NR)	Inclusive dates (NR)
245	g	TITLE STATEMENT (NR)	Bulk dates (NR)
245	h	TITLE STATEMENT (NR)	Medium (NR)
245	k	TITLE STATEMENT (NR)	Form (R)
245	n	TITLE STATEMENT (NR)	Number of part/section of a work (R)
245	p	TITLE STATEMENT (NR)	Name of part/section of a work (R)
245	s	TITLE STATEMENT (NR)	Version (NR)
246	5	VARYING FORM OF TITLE (R)	Institution to which field applies (NR)
246	6	VARYING FORM OF TITLE (R)	Linkage (NR)
246	8	VARYING FORM OF TITLE (R)	Field link and sequence number (R)
246	a	VARYING FORM OF TITLE (R)	Title proper/short title (NR)
246	b	VARYING FORM OF TITLE (R)	Remainder of title (NR)
246	d	VARYING FORM OF TITLE (R)	Designation of section (SE) [OBSOLETE]
246	e	VARYING FORM OF TITLE (R)	Name of part/section (SE) [OBSOLETE]
246	f	VARYING FORM OF TITLE (R)	Date or sequential designation (NR)
246	g	VARYING FORM OF TITLE (R)	Miscellaneous information (R)
246	h	VARYING FORM OF TITLE (R)	Medium (NR)
246	i	VARYING FORM OF TITLE (R)	Display text (NR)
246	n	VARYING FORM OF TITLE (R)	Number of part/section of a work (R)
246	p	VARYING FORM OF TITLE (R)	Name of part/section of a work (R)
247	6	FORMER TITLE (R)	Linkage (NR)
247	8	FORMER TITLE (R)	Field link and sequence number (R)
247	a	FORMER TITLE (R)	Title (NR)
247	b	FORMER TITLE (R)	Remainder of title (NR)
247	d	FORMER TITLE (R)	Designation of section (SE) [OBSOLETE]
247	e	FORMER TITLE (R)	Name of part/section (SE) [OBSOLETE]
247	f	FORMER TITLE (R)	Date or sequential designation (NR)
247	g	FORMER TITLE (R)	Miscellaneous information (R)
247	h	FORMER TITLE (R)	Medium (NR)
247	n	FORMER TITLE (R)	Number of part/section of a work (R)
247	p	FORMER TITLE (R)	Name of part/section of a work (R)
247	x	FORMER TITLE (R)	International Standard Serial Number (NR)
250	3	EDITION STATEMENT (R)	Materials specified (NR)
250	6	EDITION STATEMENT (R)	Linkage (NR)
250	8	EDITION STATEMENT (R)	Field link and sequence number (R)
250	a	EDITION STATEMENT (R)	Edition statement (NR)
250	b	EDITION STATEMENT (R)	Remainder of edition statement (NR)
251	0	VERSION INFORMATION (R)	Authority record control number or standard number (R)
251	1	VERSION INFORMATION (R)	Real World Object URI (R)
251	2	VERSION INFORMATION (R)	Source (NR)
251	3	VERSION INFORMATION (R)	Materials specified (NR)
251	6	VERSION INFORMATION (R)	Linkage (NR)
251	8	VERSION INFORMATION (R)	Field link and sequence number (R)
251	a	VERSION INFORMATION (R)	Version (R)
254	6	MUSICAL PRESENTATION STATEMENT (NR)	Linkage (NR)
254	8	MUSICAL PRESENTATION STATEMENT (NR)	Field link and sequence number (R)
254	a	MUSICAL PRESENTATION STATEMENT (NR)	Musical presentation statement (NR)
255	6	CARTOGRAPHIC MATHEMATICAL DATA (R)	Linkage (NR)
255	8	CARTOGRAPHIC MATHEMATICAL DATA (R)	Field link and sequence number (R)
255	a	CARTOGRAPHIC MATHEMATICAL DATA (R)	Statement of scale (NR)
255	b	CARTOGRAPHIC MATHEMATICAL DATA (R)	Statement of projection (NR)
255	c	CARTOGRAPHIC MATHEMATICAL DATA (R)	Statement of coordinates (NR)
255	d	CARTOGRAPHIC MATHEMATICAL DATA (R)	Statement of zone (NR)
255	e	CARTOGRAPHIC MATHEMATICAL DATA (R)	Statement of equinox (NR)
255	f	CARTOGRAPHIC MATHEMATICAL DATA (R)	Outer G-ring coordinate pairs (NR)
255	g	CARTOGRAPHIC MATHEMATICAL DATA (R)	Exclusion G-ring coordinate pairs (NR)
256	6	COMPUTER FILE CHARACTERISTICS (NR)	Linkage (NR)
256	8	COMPUTER FILE CHARACTERISTICS (NR)	Field link and sequence number (R)
256	a	COMPUTER FILE CHARACTERISTICS (NR)	Computer file characteristics (NR)
257	0	COUNTRY OF PRODUCING ENTITY (R)	Authority record control number or standard number (R)
257	1	COUNTRY OF PRODUCING ENTITY (R)	Real World Object URI (R)
257	2	COUNTRY OF PRODUCING ENTITY (R)	Source (NR)
257	6	COUNTRY OF PRODUCING ENTITY (R)	Linkage (NR)
257	8	COUNTRY OF PRODUCING ENTITY (R)	Field link and sequence number (R)
257	a	COUNTRY OF PRODUCING ENTITY (R)	Country of producing entity (R)
258	6	PHILATELIC ISSUE DATE (R)	Linkage (NR)
258	8	PHILATELIC ISSUE DATE (R)	Field link and sequence number (R)
258	a	PHILATELIC ISSUE DATE (R)	Issuing jurisdiction (NR)
258	b	PHILATELIC ISSUE DATE (R)	Denomination (NR)
260	3	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Materials specified (NR)
260	6	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Linkage (NR)
260	8	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Field link and sequence number (R)
260	a	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Place of publication, distribution, etc. (R)
260	b	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Name of publisher, distributor, etc. (R)
260	c	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Date of publication, distribution, etc. (R)
260	d	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Plate or publisher's number for music (Pre-AACR 2) (NR) [LOCAL]
260	e	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Place of manufacture (R)
260	f	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Manufacturer (R)
260	g	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R)	Date of manufacture (R)
261	6	IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) (NR) [LOCAL]	Linkage (NR)
261	8	IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) (NR) [LOCAL]	Field link and sequence number (R)
261	a	IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) (NR) [LOCAL]	Producing company (R)
261	b	IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) (NR) [LOCAL]	Releasing company (primary distributor) (R)
261	d	IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) (NR) [LOCAL]	Date of production, release, etc. (R)
261	e	IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) (NR) [LOCAL]	Contractual producer (R)
261	f	IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) (NR) [LOCAL]	Place of production, release, etc. (R)
262	6	IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL]	Linkage (NR)
262	8	IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL]	Field link and sequence number (R)
262	a	IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL]	Place of production, release, etc. (NR)
262	b	IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL]	Publisher or trade name (NR)
262	c	IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL]	Date of production, release, etc. (NR)
262	k	IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL]	Serial identification (NR)
262	l	IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) (NR) [LOCAL]	Matrix and/or take number (NR)
263	6	PROJECTED PUBLICATION DATE (NR)	Linkage (NR)
263	8	PROJECTED PUBLICATION DATE (NR)	Field link and sequence number (R)
263	a	PROJECTED PUBLICATION DATE (NR)	Projected publication date (NR)
264	3	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)	Materials specified (NR)
264	6	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)	Linkage (NR)
264	8	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)	Field link and sequence number (R)
264	a	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)	Place of production, publication, distribution, manufacture (R)
264	b	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)	Name of producer, publisher, distributor, manufacturer (R)
264	c	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)	Date of production, publication, distribution, manufacture, or copyright notice (R)
265	6	SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS (NR) [OBSOLETE]	Linkage (NR)
265	a	SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS (NR) [OBSOLETE]	Source for acquisition/subscription address (R)
270	4	ADDRESS (R)	Relationship (R)
270	6	ADDRESS (R)	Linkage (NR)
270	8	ADDRESS (R)	Field link and sequence number (R)
270	a	ADDRESS (R)	Address (R)
270	b	ADDRESS (R)	City (NR)
270	c	ADDRESS (R)	State or province (NR)
270	d	ADDRESS (R)	Country (NR)
270	e	ADDRESS (R)	Postal code (NR)
270	f	ADDRESS (R)	Terms preceding attention name (NR)
270	g	ADDRESS (R)	Attention name (NR)
270	h	ADDRESS (R)	Attention position (NR)
270	i	ADDRESS (R)	Type of address (NR)
270	j	ADDRESS (R)	Specialized telephone number (R)
270	k	ADDRESS (R)	Telephone number (R)
270	l	ADDRESS (R)	Fax number (R)
270	m	ADDRESS (R)	Electronic mail address (R)
270	n	ADDRESS (R)	TDD or TTY number (R)
270	p	ADDRESS (R)	Contact person (R)
270	q	ADDRESS (R)	Title of contact person (R)
270	r	ADDRESS (R)	Hours (R)
270	z	ADDRESS (R)	Public note (R)
300	3	PHYSICAL DESCRIPTION (R)	Materials specified (NR)
300	6	PHYSICAL DESCRIPTION (R)	Linkage (NR)
300	8	PHYSICAL DESCRIPTION (R)	Field link and sequence number (R)
300	a	PHYSICAL DESCRIPTION (R)	Extent (R)
300	b	PHYSICAL DESCRIPTION (R)	Other physical details (NR)
300	c	PHYSICAL DESCRIPTION (R)	Dimensions (R)
300	e	PHYSICAL DESCRIPTION (R)	Accompanying material (NR)
300	f	PHYSICAL DESCRIPTION (R)	Type of unit (R)
300	g	PHYSICAL DESCRIPTION (R)	Size of unit (R)
301	a	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Extent of item (NR)
301	b	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Sound characteristics (NR)
301	c	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Color characteristics (NR)
301	d	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Dimensions (NR)
301	e	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Accompanying material (NR)
301	f	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Speed (NR)
302	a	PAGE OR ITEM COUNT (BK AM) [OBSOLETE]	Page count (NR)
303	a	UNIT COUNT (AM) [OBSOLETE]	Unit count (NR)
304	a	LINEAR FOOTAGE (AM) [OBSOLETE]	Linear footage (NR)
305	6	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Linkage (NR)
305	a	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Extent (NR)
305	b	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Other physical details (NR)
305	c	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Dimensions (NR)
305	d	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Microgroove or standard (NR)
305	e	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Stereophonic, monaural (NR)
305	f	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Number of tracks (NR)
305	m	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Serial identification (NR)
305	n	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Matrix and/or take number (NR)
306	6	PLAYING TIME (NR)	Linkage (NR)
306	8	PLAYING TIME (NR)	Field link and sequence number (R)
306	a	PLAYING TIME (NR)	Playing time (R)
307	6	HOURS, ETC. (R)	Linkage (NR)
307	8	HOURS, ETC. (R)	Field link and sequence number (R)
307	a	HOURS, ETC. (R)	Hours (NR)
307	b	HOURS, ETC. (R)	Additional information (NR)
308	6	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Linkage (NR)
308	a	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Number of reels (NR)
308	b	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Footage (NR)
308	c	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Sound characteristics (NR)
308	d	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Color characteristics (NR)
308	e	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Width (NR)
308	f	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Presentation format (NR)
310	0	CURRENT PUBLICATION FREQUENCY (R)	Authority record control number or standard number (NR)
310	1	CURRENT PUBLICATION FREQUENCY (R)	Real World Object URI (R)
310	2	CURRENT PUBLICATION FREQUENCY (R)	Source (NR)
310	6	CURRENT PUBLICATION FREQUENCY (R)	Linkage (NR)
310	8	CURRENT PUBLICATION FREQUENCY (R)	Field link and sequence number (R)
310	a	CURRENT PUBLICATION FREQUENCY (R)	Current publication frequency (NR)
310	b	CURRENT PUBLICATION FREQUENCY (R)	Date of current publication frequency (NR)
315	6	FREQUENCY (NR) (CF MP) [OBSOLETE]	Linkage (NR)
315	a	FREQUENCY (NR) (CF MP) [OBSOLETE]	Frequency (R)
315	b	FREQUENCY (NR) (CF MP) [OBSOLETE]	Dates of frequency (R)
321	0	FORMER PUBLICATION FREQUENCY (R)	Authority record control number or standard number (NR)
321	1	FORMER PUBLICATION FREQUENCY (R)	Real World Object URI (R)
321	2	FORMER PUBLICATION FREQUENCY (R)	Source (NR)
321	6	FORMER PUBLICATION FREQUENCY (R)	Linkage (NR)
321	8	FORMER PUBLICATION FREQUENCY (R)	Field link and sequence number (R)
321	a	FORMER PUBLICATION FREQUENCY (R)	Former publication frequency (NR)
321	b	FORMER PUBLICATION FREQUENCY (R)	Dates of former publication frequency (NR)
335	0	EXTENSION PLAN (R)	Authority record control number or standard number (R)
335	1	EXTENSION PLAN (R)	Real World Object URI (R)
335	2	EXTENSION PLAN (R)	Source (NR)
335	3	EXTENSION PLAN (R)	Materials specified (NR)
335	6	EXTENSION PLAN (R)	Linkage (NR)
335	8	EXTENSION PLAN (R)	Field link and sequence number (R)
335	a	EXTENSION PLAN (R)	Extension plan term (NR)
335	b	EXTENSION PLAN (R)	Extension plan code (NR)
336	0	CONTENT TYPE (R)	Authority record control number or standard number (R)
336	1	CONTENT TYPE (R)	Real World Object URI (R)
336	2	CONTENT TYPE (R)	Source (NR)
336	3	CONTENT TYPE (R)	Materials specified (NR)
336	6	CONTENT TYPE (R)	Linkage (NR)
336	8	CONTENT TYPE (R)	Field link and sequence number (R)
336	a	CONTENT TYPE (R)	Content type term (R)
336	b	CONTENT TYPE (R)	Content type code (R)
337	0	MEDIA TYPE (R)	Authority record control number or standard number (R)
337	1	MEDIA TYPE (R)	Real World Object URI (R)
337	2	MEDIA TYPE (R)	Source (NR)
337	3	MEDIA TYPE (R)	Materials specified (NR)
337	6	MEDIA TYPE (R)	Linkage (NR)
337	8	MEDIA TYPE (R)	Field link and sequence number (R)
337	a	MEDIA TYPE (R)	Media type term (R)
337	b	MEDIA TYPE (R)	Media type code (R)
338	0	CARRIER TYPE (R)	Authority record control number or standard number (R)
338	1	CARRIER TYPE (R)	Real World Object URI (R)
338	2	CARRIER TYPE (R)	Source (NR)
338	3	CARRIER TYPE (R)	Materials specified (NR)
338	6	CARRIER TYPE (R)	Linkage (NR)
